서식코드,서식명,대분류,구분,업데이트일
11212,자기 전환사채 매도 결정,수시공시,금감원,20250918
11214,자기 전환주식 매도 결정,수시공시,금감원,20250918
11301,부도발생,수시공시,금감원,20250918
11302,은행거래정지ㆍ금지,수시공시,금감원,20250918
11303,영업정지,수시공시,금감원,20250918
11304,회생절차개시신청,수시공시,금감원,20250918
11305,해산사유발생,수시공시,금감원,20250918
11306,유상증자결정,수시공시,금감원,20250918
11307,무상증자결정,수시공시,금감원,20250918
11308,유무상증자결정,수시공시,금감원,20250918
11309,감자결정,수시공시,금감원,20250918
11310,채권은행등의관리절차개시,수시공시,금감원,20250918
11312,소송등의제기,수시공시,금감원,20250918
11313,해외증권시장주권등상장결정,수시공시,금감원,20250918
11314,해외증권시장주권등상장폐지결정,수시공시,금감원,20250918
11315,해외증권시장주권등상장,수시공시,금감원,20250918
11316,해외증권시장주권등상장폐지,수시공시,금감원,20250918
11317,해외증권시장주권등매매거래정지등조치,수시공시,금감원,20250918
11318,외국법인등의외국법령등변경,수시공시,금감원,20250918
11319,외국법인등의주식등에대한외국에서의공개매수,수시공시,금감원,20250918
11320,외국법인등의주식등에대한외국에서의안정조작등,수시공시,금감원,20250918
11321,외국법인등의해외법규위반으로인한조치,수시공시,금감원,20250918
11322,외국법인등의외국거래소로부터매매거래정지ㆍ해제,수시공시,금감원,20250918
11323,외국법인등의외국거래소로부터상장폐지,수시공시,금감원,20250918
11324,전환사채권발행결정,수시공시,금감원,20250918
11325,신주인수권부사채권발행결정,수시공시,금감원,20250918
11326,교환사채권발행결정,수시공시,금감원,20250918
11327,채권은행등의관리절차중단,수시공시,금감원,20250918
11328,전환형 조건부자본증권 발행결정,수시공시,금감원,20250918
11329,상각형 조건부자본증권 발행결정,수시공시,금감원,20250918
11330,전환형 조건부자본증권의 주식전환 사유 발생,수시공시,금감원,20250918
11331,상각형 조건부자본증권의 채무재조정 사유 발생,수시공시,금감원,20250918
11332,자기주식 취득 결정,수시공시,금감원,20250918
11333,자기주식 처분 결정,수시공시,금감원,20250918
11334,자기주식취득 신탁계약 체결 결정,수시공시,금감원,20250918
11335,자기주식취득 신탁계약 해지 결정,수시공시,금감원,20250918
11336,영업양수 결정,수시공시,금감원,20250918
11337,영업양도 결정,수시공시,금감원,20250918
11338,유형자산 양수 결정,수시공시,금감원,20250918
11339,유형자산 양도 결정,수시공시,금감원,20250918
11340,타법인 주식 및 출자증권 양수결정,수시공시,금감원,20250918
11341,타법인 주식 및 출자증권 양도결정,수시공시,금감원,20250918
11342,주권 관련 사채권 양수 결정,수시공시,금감원,20250918
11343,주권 관련 사채권 양도 결정,수시공시,금감원,20250918
11344,회사합병 결정,수시공시,금감원,20250918
11345,회사분할 결정,수시공시,금감원,20250918
11346,회사분할합병 결정,수시공시,금감원,20250918
11347,주식교환ㆍ이전 결정,수시공시,금감원,20250918
11348,자본으로 인정되는 채무증권 발행결정,수시공시,금감원,20250918
11350,자기 신주인수권부사채 매도 결정,수시공시,금감원,20250918
11354,자기 전환사채 만기전 취득 결정,수시공시,금감원,20250918
11355,자기 신주인수권부사채 만기전 취득 결정,수시공시,금감원,20250918
11356,자기 전환주식 취득 결정,수시공시,금감원,20250918
11357,신탁계약에 의한 자기주식 처분 결정,수시공시,금감원,20250918
61121,증권예탁증권(DR)발행결정,수시공시,거래소,20250918
61131,주식 소각 결정,수시공시,거래소,20250918
61147,해외증권거래소등에신고한주요공시사항의국내신고,수시공시,거래소,20250918
61148,해외증권거래소 등의 조회공시사항 국내신고,수시공시,거래소,20250918
61149,해외증권거래소 등에 요청한 매매거래정지 등 국내신고,수시공시,거래소,20250918
61152,단기차입금증가결정,수시공시,거래소,20250918
61178,회생절차개시결정,수시공시,거래소,20250918
61197,상장폐지결정,수시공시,거래소,20250918
61202,경영정상화계획의이행약정체결,수시공시,거래소,20250918
61209,최대주주변경,수시공시,거래소,20250918
61220,소송등의제기ㆍ신청(일정금액 이상의 청구),수시공시,거래소,20250918
61221,소송등의판결ㆍ결정(일정금액 이상의 청구),수시공시,거래소,20250918
61222,소송등의판결ㆍ결정,수시공시,거래소,20250918
61223,소송 등의 제기ㆍ신청(경영권 분쟁 소송),수시공시,거래소,20250918
61230,출자법인 부도ㆍ해산사유 등 발생(자율공시),수시공시,거래소,20250918
61231,출자법인 회생절차 및 파산 관련 결정(자율공시),수시공시,거래소,20250918
61232,피보증(담보)법인 부도ㆍ해산사유 등 발생(자율공시),수시공시,거래소,20250918
61233,피보증(담보)법인 회생절차 및 파산 관련 결정(자율공시),수시공시,거래소,20250918
61234,출자법인 부도ㆍ해산사유 등 발생,수시공시,거래소,20250918
61235,출자법인 회생절차 및 파산 관련 결정,수시공시,거래소,20250918
61236,피보증(담보)법인 부도ㆍ해산사유 등 발생,수시공시,거래소,20250918
61237,피보증(담보)법인 회생절차 및 파산 관련 결정,수시공시,거래소,20250918
61241,생산중단,수시공시,거래소,20250918
61245,재해발생,수시공시,거래소,20250918
61246,제품에대한수거ㆍ파기등결정,수시공시,거래소,20250918
61251,기업인수목적회사의정관변경결정,수시공시,거래소,20250918
61252,기업인수목적회사의임원선임결정,수시공시,거래소,20250918
61253,기업인수목적회사의임원해임결정,수시공시,거래소,20250918
61254,기업인수목적회사의임원사임,수시공시,거래소,20250918
61255,기업인수목적회사관련합병취소ㆍ부인사실발생,수시공시,거래소,20250918
61256,기업인수목적회사의예치ㆍ신탁계약내용변경,수시공시,거래소,20250918
61257,기업인수목적회사의예치ㆍ신탁비율변경,수시공시,거래소,20250918
61258,기업인수목적회사의예치ㆍ신탁자금인출사실발생,수시공시,거래소,20250918
61313,타인에대한담보제공결정,수시공시,거래소,20250918
61314,타인에대한채무보증결정,수시공시,거래소,20250918
61330,출자법인 회생절차 및 파산 관련 신청,수시공시,거래소,20250918
61331,출자법인 회생절차 및 파산 관련 신청(자율공시),수시공시,거래소,20250918
61332,피보증(담보)법인 회생절차 및 파산 관련 신청,수시공시,거래소,20250918
61333,피보증(담보)법인 회생절차 및 파산 관련 신청(자율공시),수시공시,거래소,20250918
61361,신규시설투자등,수시공시,거래소,20250918
61362,시설외투자 등,수시공시,거래소,20250918
61363,시설외투자 등(자율공시),수시공시,거래소,20250918
61364,녹색기술ㆍ사업에 대한 인증ㆍ인증취소(자율공시),수시공시,거래소,20250918
61365,녹색전문기업의 확인ㆍ확인취소(자율공시),수시공시,거래소,20250918
61366,온실가스ㆍ에너지 관리업체 지정ㆍ지정취소(자율공시),수시공시,거래소,20250918
61367,녹색경영정보 관련 개선명령 등 조치(자율공시),수시공시,거래소,20250918
61368,녹색기업의 지정ㆍ지정취소(자율공시),수시공시,거래소,20250918
61369,온실가스 배출권의 취득(자율공시),수시공시,거래소,20250918
61370,온실가스 배출권의 처분(자율공시),수시공시,거래소,20250918
61371,선급금 지급 결정(자율공시),수시공시,거래소,20250918
61372,금전 가지급 결정(자율공시),수시공시,거래소,20250918
61373,유상증자 또는 주식관련사채 등의 발행결과(자율공시),수시공시,거래소,20250918
61374,기타 녹색경영정보 관련 공시(자율공시),수시공시,거래소,20250918
61376,선급금 지급 결정,수시공시,거래소,20250918
61377,금전 가지급 결정,수시공시,거래소,20250918
61381,타법인주식및출자증권취득결정,수시공시,거래소,20250918
61382,타법인주식및출자증권처분결정,수시공시,거래소,20250918
61474,주식배당결정,수시공시,거래소,20250918
61478,액면주식의 무액면주식 전환 결정,수시공시,거래소,20250918
61479,무액면주식의 액면주식 전환 결정,수시공시,거래소,20250918
61500,현금ㆍ현물 배당 결정,수시공시,거래소,20250918
61570,영업전부의임대ㆍ경영위임등결정,수시공시,거래소,20250918
61571,영업전부의임대ㆍ경영위임등의계약변경ㆍ해지결정,수시공시,거래소,20250918
61573,해외증권거래소등에신고한사업보고서등의국내신고,수시공시,거래소,20250918
61575,신탁계약등에의해취득한자기주식의장외처분결정,수시공시,거래소,20250918
61612,자산재평가 결과(자율공시),수시공시,거래소,20250918
61960,상장외국법인의증권예탁증권취득결정,수시공시,거래소,20250918
61961,상장외국법인의증권예탁증권처분결정,수시공시,거래소,20250918
61963,상장외국법인의기타주요경영사항,수시공시,거래소,20250918
61972,가장납입 혐의 발생,수시공시,거래소,20250918
61973,가장납입 혐의 발생(자율공시),수시공시,거래소,20250918
61974,가장납입 사실 확인,수시공시,거래소,20250918
61975,가장납입 사실 확인(자율공시),수시공시,거래소,20250918
61976,매출채권 이외의 채권에서 발생한 손상차손,수시공시,거래소,20250918
61977,매출채권 이외의 채권에서 발생한 손상차손(자율공시),수시공시,거래소,20250918
61978,온실가스ㆍ에너지 관리업체의 배출량ㆍ사용량(자율공시),수시공시,거래소,20250918
61979,지속가능경영보고서 등 관련사항(자율공시),수시공시,거래소,20250918
61980,유상증자 또는 주식관련사채 등의 청약결과(자율공시),수시공시,거래소,20250918
61981,자산재평가 실시 결정(자율공시),수시공시,거래소,20250918
61982,가족친화 인증ㆍ유효기간 연장ㆍ인증취소(자율공시),수시공시,거래소,20250918
61983,가족친화 경영정보 관련 과태료 부과 조치(자율공시),수시공시,거래소,20250918
68109,전환가액ㆍ신주인수권행사가액ㆍ교환가액의 조정(안내공시),수시공시,거래소,20250918
68961,기업가치 제고 계획(자율공시),수시공시,거래소,20250918
68962,기업가치 제고 계획 예고(안내공시),수시공시,거래소,20250918
68963,상장적격성 실질심사 관련 주요 개선계획(자율공시),수시공시,거래소,20250918
68964,중대재해 발생,수시공시,거래소,20250918
68965,중대재해 발생(종속회사의 주요경영사항),수시공시,거래소,20250918
68966,중대재해 관련 형사처벌 사실확인,수시공시,거래소,20250918
68967,중대재해 관련 형사처벌 사실확인(종속회사의 주요경영사항),수시공시,거래소,20250918
91032,횡령ㆍ배임 사실확인(자율공시),수시공시,거래소,20250918
91128,주식분할 결정,수시공시,거래소,20250918
91129,주식병합 결정,수시공시,거래소,20250918
91150,단기차입금감소(자율공시),수시공시,거래소,20250918
91174,회생절차 종결신청,수시공시,거래소,20250918
91175,회생절차 폐지신청,수시공시,거래소,20250918
91176,회생절차 종결결정,수시공시,거래소,20250918
91177,회생절차 폐지결정,수시공시,거래소,20250918
91183,벌금등의부과,수시공시,거래소,20250918
91195,채권은행 등의 관리절차 개시(기업구조조정 촉진법에 해당하지 않는 경우),수시공시,거래소,20250918
91199,채권은행 등의 관리절차 중단(기업구조조정 촉진법에 해당하지 않는 경우),수시공시,거래소,20250918
91200,채권은행 등의 관리절차 해제,수시공시,거래소,20250918
91201,채권은행 등의 관리절차 개시 신청,수시공시,거래소,20250918
91202,채권은행 등의 관리절차 개시 신청취하,수시공시,거래소,20250918
91206,소송등의제기ㆍ신청(자율공시:합병ㆍ분할 등 관련 무효ㆍ취소),수시공시,거래소,20250918
91207,소송등의판결ㆍ결정(자율공시:합병ㆍ분할 등 관련 무효ㆍ취소),수시공시,거래소,20250918
91208,횡령ㆍ배임혐의발생,수시공시,거래소,20250918
91209,횡령ㆍ배임사실확인,수시공시,거래소,20250918
91247,거래처와의 거래중단,수시공시,거래소,20250918
91248,증여(자율공시),수시공시,거래소,20250918
91249,수증(자율공시),수시공시,거래소,20250918
91294,증권대여결정,수시공시,거래소,20250918
91295,금전대여 결정,수시공시,거래소,20250918
91296,금전대여결정(자율공시),수시공시,거래소,20250918
91297,증권대여결정(자율공시),수시공시,거래소,20250918
91311,채무인수결정,수시공시,거래소,20250918
91312,채무면제결정,수시공시,거래소,20250918
91325,채무면제이익발생(자율공시),수시공시,거래소,20250918
91366,자원개발 진행사항 공시(자율공시),수시공시,거래소,20250918
91367,자원개발 투자중단 결정(자율공시),수시공시,거래소,20250918
91368,자원개발 투자결정(자율공시),수시공시,거래소,20250918
91369,자원개발 경제성 판명(자율공시),수시공시,거래소,20250918
91370,단일판매ㆍ공급계약체결,수시공시,거래소,20250918
91371,단일판매ㆍ공급계약 해지,수시공시,거래소,20250918
91379,유형자산 취득결정,수시공시,거래소,20250918
91380,유형자산 처분결정,수시공시,거래소,20250918
91387,출자상호저축은행 과점주주 지위획득ㆍ변경(자율공시),수시공시,거래소,20250918
91431,파생상품거래 손실발생,수시공시,거래소,20250918
91432,파생상품거래이익발생(자율공시),수시공시,거래소,20250918
91443,매출액또는손익구조30%(대규모법인은15%)이상변경,수시공시,거래소,20250918
91444,현금ㆍ현물배당을 위한 주주명부폐쇄(기준일) 결정,수시공시,거래소,20250918
91445,자본잠식 50% 이상 또는 매출액 50억원 미만 사실 발생,수시공시,거래소,20250918
91471,주주총회소집결의,수시공시,거래소,20250918
91478,지주회사의 자회사 편입,수시공시,거래소,20250918
91479,금융지주회사 경영개선 등 조치(자율공시),수시공시,거래소,20250918
91481,임시주주총회 결과,수시공시,거래소,20250918
91482,정기주주총회결과,수시공시,거래소,20250918
91490,주요주주변경(자율공시),수시공시,거래소,20250918
91531,부동산투자회사 부동산 취득,수시공시,거래소,20250918
91532,부동산투자회사 부동산 처분,수시공시,거래소,20250918
91533,부동산투자회사 부동산 임대,수시공시,거래소,20250918
91534,부동산투자회사 증권 취득,수시공시,거래소,20250918
91535,부동산투자회사 증권 처분,수시공시,거래소,20250918
91536,부동산투자회사 자금차입,수시공시,거래소,20250918
91537,부동산투자회사 자산보관 위탁계약 체결,수시공시,거래소,20250918
91538,부동산투자회사 자산관리 위탁계약 체결,수시공시,거래소,20250918
91539,부동산투자회사 투자자문 위탁계약 체결,수시공시,거래소,20250918
91540,부동산투자회사 자산보관 위탁계약 변경,수시공시,거래소,20250918
91541,부동산투자회사 자산관리 위탁계약 변경,수시공시,거래소,20250918
91542,부동산투자회사 투자자문 위탁계약 변경,수시공시,거래소,20250918
91543,부동산투자회사 자산보관 위탁계약 해지,수시공시,거래소,20250918
91544,부동산투자회사 자산관리 위탁계약 해지,수시공시,거래소,20250918
91545,부동산투자회사 투자자문 위탁계약 해지,수시공시,거래소,20250918
91546,부동산투자회사 계약회사의 해산사유 등 발생,수시공시,거래소,20250918
91550,부동산투자회사 존립기간 연장,수시공시,거래소,20250918
91551,부동산투자회사 주식매수의 제한,수시공시,거래소,20250918
91552,사채원리금미지급발생(자율공시),수시공시,거래소,20250918
91560,부동산투자회사 금전배당 결정,수시공시,거래소,20250918
91561,부동산투자회사 부동산개발사업 투자ㆍ운용,수시공시,거래소,20250918
91566,부동산투자회사 경영개선 등 감독기관의 조치,수시공시,거래소,20250918
91567,감사보고서 제출,수시공시,거래소,20250918
91568,금융기관 경영개선 등 조치(자율공시),수시공시,거래소,20250918
91569,기타 경영사항(자율공시),수시공시,거래소,20250918
91710,회생절차 개시신청 기각,수시공시,거래소,20250918
91711,회생절차개시결정 취소,수시공시,거래소,20250918
91712,회생계획 인가,수시공시,거래소,20250918
91713,회생계획 불인가,수시공시,거래소,20250918
91720,파산신청,수시공시,거래소,20250918
91721,파산신청 기각,수시공시,거래소,20250918
91722,파산선고,수시공시,거래소,20250918
91723,어음 위ㆍ변조 발생,수시공시,거래소,20250918
91724,사채원리금미지급발생,수시공시,거래소,20250918
91725,대출원리금 연체사실 발생,수시공시,거래소,20250918
91726,대출원리금 연체사실 발생(자율공시),수시공시,거래소,20250918
91730,상장외국법인의 본국 증권거래소에 대한 신고,수시공시,거래소,20250918
91731,상장외국법인의 본국 거래소 관련 조회공시사항,수시공시,거래소,20250918
